
"ID_TRANSACCION_ORGANISMO","PROVIDER","TIPO_TARJETA","NUMERO_SERIE_HEX","FECHA_HORA_TRANSACCION","LINEA","ESTACION","AUTOBUS","RUTA","EQUIPO","TIPO_EQUIPO","LOCATION_ID","TIPO_TRANSACCION","SALDO_ANTES_TRANSACCION","MONTO_TRANSACCION","SALDO_DESPUES_TRANSACCION","PERFIL1","PERFIL2","PERFIL3","SAM_SERIAL_HEX_ULTIMA_RECARGA","SAM_SERIAL_HEX","CONTADOR_RECARGAS","CONTADOR_VALIDACIONES","EVENT_LOG","LOAD_LOG","PURCHASE_LOG","MAC","COUNTER_VALUE","COUNTER_AMOUNT","SAM_COUNTER","ENVIRONMENT","ENVIRONMENT_ISSUER_ID","CONTRACT","CONTRACT_TARIFF","CONTRACT_SALE_SAM","CONTRACT_RESTRICT_TIME","CONTRACT_VALIDITY_START_DATE","CONTRACT_VALIDITY_DURATION"
"74547442","15","1","0000000005866DA9","2024-06-16 10:25:32","12","","8E","10","01","4","12148E","03","4300","800","3500","0","  0","  0","AE10E1BB","AEC426C1","","2.281","0100002F03011512148E33A5149C0003201512148E33A5149C01010000","","00000000000000000000000000000000000000000000000000000000000000C0002BE5B60B54B1000DACFCE0272C0271C0AEC426C10008E9000DAC002B","00000000000000000000000000000314FABA491282F7680008CCD2169F0DCC102804","000000","000000","0015CB","148401010000000025BE34030000000000000000000000000000000000","01","01011A413F010181800000000000000025BEAE10E1770015CBC4665E81","1","AE10E177","00","2023-06-16 00:00:00","63"
"74547444","15","1","0000000093D43CCB","2024-06-16 10:26:00","12","","8E","10","01","4","12048E","51","","","","0","  0","  0","","","","","","","","00000000000000000000000000000000000000000000000000000000000000000000","000000","000000","","","","","","","","",""
"74547469","15","1","000000000586B99F","2024-06-16 10:41:16","12","","8E","10","01","4","12148E","03","1200","800","400","0","  0","  0","AE1232FF","AEC426C1","","2.282","0100009A03011512148E33A5184C0003201512148E33A5184C01010000","","00000000000000000000000000000000000000000000000000000000000000C00087A72A1D1A73000190FCE0272C0281C0AEC426C10008EA0001900087","000000000000000000000000000003F34FB0E7A1762F790008CD0ACD16F984C5D8F1","000000","000000","001799","148401010000000025BE34030000000000000000000000000000000000","01","01011A413F010181800000000000000025BEAE10E16D001799C47117D4","1","AE10E16D","00","2023-06-16 00:00:00","63"
"74547471","15","1","0000000093DC76E9","2024-06-16 10:41:18","12","","8E","10","01","4","12148E","03","2500","800","1700","0","  0","  0","AEC4096E","AEC426C1","","2.283","0100016703011512148E33A5184E0003201512148E33A5184E01010000","","00000000000000000000000000000000000000000000000000000000000000C001533F7F8E9F420006A4FCE0272C0281C0AEC426C10008EB0006A40153","0000000000000000000000000000035DB7AE8023F2B3E30008CE4C34B0BEF2A4ECDF","000000","000000","00038D","1484013212345678205B2E9F0000010101000000000000000000000000","32","01011FA43F0132818000000000000000205BAE10D0D400038DC44B0DA9","1","AE10D0D4","00","2019-09-06 00:00:00","63"
"74547473","15","1","000000007C8980D5","2024-06-16 10:45:30","12","","8E","10","01","4","12148E","03","4200","800","3400","0","  0","  0","AE10D18B","AEC426C1","","2.284","0100001103011512148E33A5194A0003201512148E33A5194A01010000","","00000000000000000000000000000000000000000000000000000000000000C0001127F79DD612000D48FCE0272C0285C0AEC426C10008EC000D480011","0000000000000000000000000000033C43392A9856436B0008CFB594E3A61FFCAEF2","000000","000000","000BEB","148401320000000026B734FC0000000000000000000000000000000000","32","010118EF3F01328180000000000000002710AEC29D2C000BEBC4300C2A","1","AEC29D2C","00","2024-05-19 00:00:00","63"
"74547475","15","1","000000007C974D6A","2024-06-16 10:45:35","12","","8E","10","01","4","12148E","03","1600","800","800","0","  0","  0","AE1232FF","AEC426C1","","2.285","0100000803011512148E33A5194F0003201512148E33A5194F01010000","","00000000000000000000000000000000000000000000000000000000000000C000089148ECE337000320FCE0272C0285C0AEC426C10008ED0003200008","00000000000000000000000000000305B9914F1FA23B550008D026295706A0E31EBA","000000","000000","00154D","148401320000000026CC35100000000000000000000000000000000000","32","010118D43F0132818000000000000000272BAE1232FF00154DC419657F","1","AE1232FF","00","2024-06-15 00:00:00","63"
"74549546","15","1","00000000C83886F5","2024-06-16 13:03:49","12","","8E","50","01","4","12548E","03","1500","800","700","0","  0","  0","AE10E1D0","AEC426C1","","2.286","0100008203011512548E33A539B50003201512548E33A539B501010000","","00000000000000000000000000000000000000000000000000000000000000C003921313013E8A0002BCFCE0272C030FC0AEC426C10008EE0002BC0392","000000000000000000000000000003A4E3C793D5E8447D0008D17D69576D5E8BEEA9","000000","000000","000DAB","1484013212345678207B2EBF0000010101000000000000000000000000","32","01011F843F0132818000000000000000207BAE10D21E000DABC4F09F0E","1","AE10D21E","00","2019-10-08 00:00:00","63"
"74551959","15","1","00000000C8381BDD","2024-06-16 17:54:39","12","","8E","50","01","4","12548E","03","3600","800","2800","0","  0","  0","AEC29B31","AEC426C1","","2.287","01FFFFFD03011512548E33A57DDF0003201512548E33A57DDF01010000","","00000000000000000000000000000000000000000000000000000000000000C004DFD92B14FF33000AF0FCE0272C0432C0AEC426C10008EF000AF004DF","0000000000000000000000000000037A5B41D54BDFE0090008D2AFFE67176757C62E","000000","000000","029B1C","1484013212345678207B2EBF0000010101000000000000000000000000","32","01011DA63F01028180000000002100012259AE12613C029B1CC4DCE794","1","AE12613C","00","2021-01-28 00:00:00","63"
"74553845","15","1","0000000093D6ABB2","2024-06-16 19:19:38","12","","8E","60","01","4","12648E","03","4600","800","3800","0","  0","  0","AE10D24B","AEC426C1","","2.288","0100FFA903011512648E33A591CA0003201512648E33A591CA01010000","","00000000000000000000000000000000000000000000000000000000000000C0019DAF5A88B55E000ED8FCE0272C0487C0AEC426C10008F0000ED8019D","000000000000000000000000000003D518F24700D1F3550008D33BC60209E7397116","000000","000000","0000F1","148401321234567820552E990000010101000000000000000000000000","32","01011FAA3F01328180000000000000002055AE10D1680000F1C48A1C15","1","AE10D168","00","2019-08-31 00:00:00","63"
"74553847","15","1","000000007C1283C2","2024-06-16 19:20:00","12","","8E","60","01","4","12048E","51","","","","0","  0","  0","","","","","","","","00000000000000000000000000000000000000000000000000000000000000000000","000000","000000","","","","","","","","",""
"74553850","15","1","00000000946BCA07","2024-06-16 19:20:02","12","","8E","60","01","4","12648E","03","2600","800","1800","0","  0","  0","AE1232FF","AEC426C1","","2.289","0100001E03011512648E33A591E20003201512648E33A591E201010000","","00000000000000000000000000000000000000000000000000000000000000C0001E356B2F3B53000708FCE0272C0488C0AEC426C10008F1000708001E","0000000000000000000000000000037C501E2EC63B20910008D4A0AF1F2A39D99043","000000","000000","001E5D","1484013C12345678232A316D0000010101000000000000000000000000","3C","01011AB53F015A818000000000000000254AAE11AE4D001E5DC41080C1","1","AE11AE4D","00","2023-02-20 00:00:00","63"
"74553896","15","1","000000007C39D928","2024-06-16 19:25:38","12","","8E","60","01","4","12648E","03","3000","800","2200","0","  0","  0","AEC29B2A","AEC426C1","","2.290","0100007603011512648E33A593320003201512648E33A5933201010000","","00000000000000000000000000000000000000000000000000000000000000C00077B568D4BDD0000898FCE0272C048DC0AEC426C10008F20008980077","000000000000000000000000000003CC73C0A04BDFAA120008D502848AEEA0485564","000000","000000","006F06","1484013200000000268634CB0000000000000000000000000000000000","32","010119093F013281800000000000000026F6AE10D20A006F06C4EBF436","1","AE10D20A","00","2024-04-23 00:00:00","63"

